index,keep_incomplete_data,normalize_data,standardize_data,full_one_hot,polynomial_degree,reg_fit_intercept,lasso_alpha,ridge_alpha,ridge_solver,el_net_alpha,el_net_l1_ratio,knr_n_neighbors,knr_weights,knr_p,linear_regression_mse,lasso_mse,ridge_mse,elastic_net_mse,knr_mse
0,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,5,uniform,1,570.1304915057667,570.397706477248,570.1319424342295,570.397706477248,0.9272288090857912
1,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,5,uniform,2,570.2961929926845,570.3745628671086,570.2950877749058,570.3745628671086,0.9292246006093312
2,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,5,distance,1,570.3805969939867,570.3582007349241,570.3789524984555,570.3582007349241,0.9082436568498302
3,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,5,distance,2,570.0510674929989,570.3960576616242,570.0515133259146,570.3960576616242,1.0276457446000618
4,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,10,uniform,1,569.9371870435828,570.3966230208026,569.9380527157366,570.3966230208026,0.8796392319743722
5,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,10,uniform,2,570.0820764669908,570.3287844078127,570.0828227033128,570.3287844078127,0.8477656277299837
6,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,10,distance,1,570.3280381695479,570.408893613732,570.3270108292097,570.408893613732,0.9674147020021204
7,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,10,distance,2,570.0485355073188,570.4008172554662,570.0479354366322,570.4008172554662,0.9272505705875498
8,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,15,uniform,1,570.2373294607135,570.3814200043968,570.2361288694826,570.3814200043968,0.8126071415043089
9,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,15,uniform,2,570.144863663685,570.3821034593487,570.1460645175919,570.3821034593487,0.843501927378763
10,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,15,distance,1,570.1371724890771,570.3428918122423,570.1375011876868,570.3428918122423,0.8492527417543982
11,False,False,True,False,1,True,1.0,1.0,auto,1.0,0.5,15,distance,2,570.3047852179478,570.3599334949888,570.3035661450423,570.3599334949888,0.8441125606135342
12,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,5,uniform,1,570.2193746352152,570.3499949342438,570.3005581958535,570.3499949342438,0.8956227840015065
13,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,5,uniform,2,570.127505045521,570.677990154167,570.2273084887886,570.677990154167,0.866979784107102
14,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,5,distance,1,570.0206725286781,569.1636911516812,570.1030623680102,569.1636911516812,0.9857269833543792
15,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,5,distance,2,570.2766915833249,570.3974566547073,570.3631223067152,570.3974566547073,0.9590861687877988
